Exchange,Date,Method,PortfolioStrategy,Return
Copenhagen,2010-09-30,Method1_Raw,LongShort,-0.013124706391719726
Copenhagen,2010-10-31,Method1_Raw,LongShort,0.06222110722004051
Copenhagen,2010-11-30,Method1_Raw,LongShort,0.01857759299495918
Copenhagen,2010-12-31,Method1_Raw,LongShort,-0.011403776053010524
Copenhagen,2011-01-31,Method1_Raw,LongShort,-0.08436383830246626
Copenhagen,2011-02-28,Method1_Raw,LongShort,0.07293898509836935
Copenhagen,2011-03-31,Method1_Raw,LongShort,0.08505858521228093
Copenhagen,2011-04-30,Method1_Raw,LongShort,-0.016143347095192065
Copenhagen,2011-05-31,Method1_Raw,LongShort,0.04377248541155166
Copenhagen,2011-06-30,Method1_Raw,LongShort,0.033932606221817964
Copenhagen,2011-07-31,Method1_Raw,LongShort,0.02910265296417274
Copenhagen,2011-08-31,Method1_Raw,LongShort,0.11275351295040659
Copenhagen,2011-09-30,Method1_Raw,LongShort,0.11386759981941988
Copenhagen,2011-10-31,Method1_Raw,LongShort,0.023281846219365375
Copenhagen,2011-11-30,Method1_Raw,LongShort,0.11844785723156022
Copenhagen,2011-12-31,Method1_Raw,LongShort,0.008293216454482558
Copenhagen,2012-01-31,Method1_Raw,LongShort,0.0018743974165334742
Copenhagen,2012-02-29,Method1_Raw,LongShort,0.06197406785051391
Copenhagen,2012-03-31,Method1_Raw,LongShort,0.039676152089481
Copenhagen,2012-04-30,Method1_Raw,LongShort,0.06411167892901601
Copenhagen,2012-05-31,Method1_Raw,LongShort,0.0780697196048074
Copenhagen,2012-06-30,Method1_Raw,LongShort,0.06447224656699012
Copenhagen,2012-07-31,Method1_Raw,LongShort,-0.12138675981989638
Copenhagen,2012-08-31,Method1_Raw,LongShort,0.12160674933863021
Copenhagen,2012-09-30,Method1_Raw,LongShort,-0.05224227508676728
Copenhagen,2012-10-31,Method1_Raw,LongShort,0.05043806432181289
Copenhagen,2012-11-30,Method1_Raw,LongShort,0.08868395394220677
Copenhagen,2012-12-31,Method1_Raw,LongShort,0.07099702414513262
Copenhagen,2013-01-31,Method1_Raw,LongShort,0.04679356245533961
Copenhagen,2013-02-28,Method1_Raw,LongShort,0.00881625817948695
Copenhagen,2013-03-31,Method1_Raw,LongShort,0.03973881496761989
Copenhagen,2013-04-30,Method1_Raw,LongShort,-0.1275308595484207
Copenhagen,2013-05-31,Method1_Raw,LongShort,-0.08492752482900716
Copenhagen,2013-06-30,Method1_Raw,LongShort,-0.02000309970839219
Copenhagen,2013-07-31,Method1_Raw,LongShort,-0.024946979145605806
Copenhagen,2013-08-31,Method1_Raw,LongShort,-0.0029306454854789443
Copenhagen,2013-09-30,Method1_Raw,LongShort,0.03408110549682184
Copenhagen,2013-10-31,Method1_Raw,LongShort,0.039175121371080125
Copenhagen,2013-11-30,Method1_Raw,LongShort,-0.04600810646206077
Copenhagen,2013-12-31,Method1_Raw,LongShort,0.008944451189612578
Copenhagen,2014-01-31,Method1_Raw,LongShort,0.016295843896475197
Copenhagen,2014-02-28,Method1_Raw,LongShort,0.018222180403265256
Copenhagen,2014-03-31,Method1_Raw,LongShort,-0.07580470235341027
Copenhagen,2014-04-30,Method1_Raw,LongShort,0.054265623444435016
Copenhagen,2014-05-31,Method1_Raw,LongShort,0.054725271275061285
Copenhagen,2014-06-30,Method1_Raw,LongShort,0.05801154357365132
Copenhagen,2014-07-31,Method1_Raw,LongShort,-0.011006109580069583
Copenhagen,2014-08-31,Method1_Raw,LongShort,0.046148788218161346
Copenhagen,2014-09-30,Method1_Raw,LongShort,0.12576064263046688
Copenhagen,2014-10-31,Method1_Raw,LongShort,0.13294760557240418
Copenhagen,2014-11-30,Method1_Raw,LongShort,0.07952009593070715
Copenhagen,2014-12-31,Method1_Raw,LongShort,0.1459779669882987
Copenhagen,2015-01-31,Method1_Raw,LongShort,-0.017463787703658057
Copenhagen,2015-02-28,Method1_Raw,LongShort,-0.01305156732035381
Copenhagen,2015-03-31,Method1_Raw,LongShort,0.17769144361859115
Copenhagen,2015-04-30,Method1_Raw,LongShort,-0.006504035983649386
Copenhagen,2015-05-31,Method1_Raw,LongShort,-0.06875887044996912
Copenhagen,2015-06-30,Method1_Raw,LongShort,0.020814560239946177
Copenhagen,2015-07-31,Method1_Raw,LongShort,0.11866805630051552
Copenhagen,2015-08-31,Method1_Raw,LongShort,-0.006171417046523492
Copenhagen,2015-09-30,Method1_Raw,LongShort,0.05324865143947639
Copenhagen,2015-10-31,Method1_Raw,LongShort,0.042617010998936555
Copenhagen,2015-11-30,Method1_Raw,LongShort,0.20438086402564676
Copenhagen,2015-12-31,Method1_Raw,LongShort,0.06999441541033935
Copenhagen,2016-01-31,Method1_Raw,LongShort,-0.002057553506926574
Copenhagen,2016-02-29,Method1_Raw,LongShort,0.014401650361555801
Copenhagen,2016-03-31,Method1_Raw,LongShort,0.008197840225015135
Copenhagen,2016-04-30,Method1_Raw,LongShort,-0.015600762689587558
Copenhagen,2016-05-31,Method1_Raw,LongShort,0.1340153460469256
Copenhagen,2016-06-30,Method1_Raw,LongShort,-0.03224437971362028
Copenhagen,2016-07-31,Method1_Raw,LongShort,-0.03110791645067726
Copenhagen,2016-08-31,Method1_Raw,LongShort,0.015172773638618351
Copenhagen,2016-09-30,Method1_Raw,LongShort,0.022761209990245966
Copenhagen,2016-10-31,Method1_Raw,LongShort,-0.016033151026853074
Copenhagen,2016-11-30,Method1_Raw,LongShort,-0.032267447410795125
Copenhagen,2016-12-31,Method1_Raw,LongShort,0.03769096132955745
Copenhagen,2017-01-31,Method1_Raw,LongShort,-0.03402544594299908
Copenhagen,2017-02-28,Method1_Raw,LongShort,-0.021131089260048436
Copenhagen,2017-03-31,Method1_Raw,LongShort,-0.02777273598913682
Copenhagen,2017-04-30,Method1_Raw,LongShort,0.05034537981769232
Copenhagen,2017-05-31,Method1_Raw,LongShort,0.06621030464629639
Copenhagen,2017-06-30,Method1_Raw,LongShort,-0.012153469410553506
Copenhagen,2017-07-31,Method1_Raw,LongShort,-0.09286769549446598
Copenhagen,2017-08-31,Method1_Raw,LongShort,0.02154184760548371
Copenhagen,2017-09-30,Method1_Raw,LongShort,0.05422190316264572
Copenhagen,2017-10-31,Method1_Raw,LongShort,0.03241697082805739
Copenhagen,2017-11-30,Method1_Raw,LongShort,-0.054603641714692515
Copenhagen,2017-12-31,Method1_Raw,LongShort,0.07605350938191481
Copenhagen,2018-01-31,Method1_Raw,LongShort,0.00021978860686077198
Copenhagen,2018-02-28,Method1_Raw,LongShort,0.009680422558664898
Copenhagen,2018-03-31,Method1_Raw,LongShort,0.04228622868800799
Copenhagen,2018-04-30,Method1_Raw,LongShort,-0.013547283673194035
Copenhagen,2018-05-31,Method1_Raw,LongShort,0.09040499154577096
Copenhagen,2018-06-30,Method1_Raw,LongShort,0.07156207969938821
Copenhagen,2018-07-31,Method1_Raw,LongShort,0.043980853658987296
Copenhagen,2018-08-31,Method1_Raw,LongShort,0.08189570011027122
Copenhagen,2018-09-30,Method1_Raw,LongShort,-0.08697025932635749
Copenhagen,2018-10-31,Method1_Raw,LongShort,0.019844331488583555
Copenhagen,2018-11-30,Method1_Raw,LongShort,0.027459408600162542
Copenhagen,2018-12-31,Method1_Raw,LongShort,0.020529572905991753
Copenhagen,2019-01-31,Method1_Raw,LongShort,-0.026176124347540377
Copenhagen,2019-02-28,Method1_Raw,LongShort,0.05053222582225811
Copenhagen,2019-03-31,Method1_Raw,LongShort,0.04483941761454685
Copenhagen,2019-04-30,Method1_Raw,LongShort,-0.01816897051897639
Copenhagen,2019-05-31,Method1_Raw,LongShort,-0.012185953238143539
Copenhagen,2019-06-30,Method1_Raw,LongShort,-0.011137669297546244
Copenhagen,2019-07-31,Method1_Raw,LongShort,0.024065793856791855
Copenhagen,2019-08-31,Method1_Raw,LongShort,0.11181504060205671
Copenhagen,2019-09-30,Method1_Raw,LongShort,-0.10278233657286459
Copenhagen,2019-10-31,Method1_Raw,LongShort,-0.03035079285166041
Copenhagen,2019-11-30,Method1_Raw,LongShort,0.03295523792975272
Copenhagen,2019-12-31,Method1_Raw,LongShort,-0.022234432522173476
Copenhagen,2020-01-31,Method1_Raw,LongShort,-0.05781903520633849
Copenhagen,2020-02-29,Method1_Raw,LongShort,0.03132516160194068
Copenhagen,2020-03-31,Method1_Raw,LongShort,0.02995175551516645
Copenhagen,2020-04-30,Method1_Raw,LongShort,0.03213126860890091
Copenhagen,2020-05-31,Method1_Raw,LongShort,0.03825752954144968
Copenhagen,2020-06-30,Method1_Raw,LongShort,-0.017087568642073864
Copenhagen,2020-07-31,Method1_Raw,LongShort,0.006991773046980492
Copenhagen,2020-08-31,Method1_Raw,LongShort,0.014288387746614029
Copenhagen,2020-09-30,Method1_Raw,LongShort,-0.03524095233494355
Copenhagen,2020-10-31,Method1_Raw,LongShort,0.04648549595674402
Copenhagen,2020-11-30,Method1_Raw,LongShort,-0.05615099690204883
Copenhagen,2020-12-31,Method1_Raw,LongShort,-0.02701624387253646
Copenhagen,2021-01-31,Method1_Raw,LongShort,-0.05620859632798603
Copenhagen,2021-02-28,Method1_Raw,LongShort,0.012996917331986553
Copenhagen,2021-03-31,Method1_Raw,LongShort,-0.0015052104213649224
Copenhagen,2021-04-30,Method1_Raw,LongShort,0.06412553149141456
Copenhagen,2021-05-31,Method1_Raw,LongShort,0.0733656217642929
Copenhagen,2021-06-30,Method1_Raw,LongShort,-0.012638197586301213
Copenhagen,2021-07-31,Method1_Raw,LongShort,0.10633676970533805
Copenhagen,2021-08-31,Method1_Raw,LongShort,0.019481507618074247
Copenhagen,2021-09-30,Method1_Raw,LongShort,-0.02279879637178432
Copenhagen,2021-10-31,Method1_Raw,LongShort,-0.01013954474782386
Copenhagen,2021-11-30,Method1_Raw,LongShort,0.047270803420068265
Copenhagen,2021-12-31,Method1_Raw,LongShort,0.07602869329257081
Copenhagen,2022-01-31,Method1_Raw,LongShort,-0.08732879623598354
Copenhagen,2022-02-28,Method1_Raw,LongShort,0.01923259453102607
Copenhagen,2022-03-31,Method1_Raw,LongShort,-0.010657053866326427
Copenhagen,2022-04-30,Method1_Raw,LongShort,0.016484075266918915
Copenhagen,2022-05-31,Method1_Raw,LongShort,-0.09573904391429688
Copenhagen,2022-06-30,Method1_Raw,LongShort,-0.009826873573237478
Copenhagen,2022-07-31,Method1_Raw,LongShort,-0.004149117179064826
Copenhagen,2022-08-31,Method1_Raw,LongShort,-0.13132906560593632
Copenhagen,2022-09-30,Method1_Raw,LongShort,-0.11069411099018267
Copenhagen,2022-10-31,Method1_Raw,LongShort,0.037287470288374834
Copenhagen,2022-11-30,Method1_Raw,LongShort,-0.008087481710461614
Copenhagen,2022-12-31,Method1_Raw,LongShort,-0.003989912202945927
Copenhagen,2023-01-31,Method1_Raw,LongShort,-0.05436343320343001
Copenhagen,2023-02-28,Method1_Raw,LongShort,0.07857235485285322
Copenhagen,2023-03-31,Method1_Raw,LongShort,0.011217189221497737
Copenhagen,2023-04-30,Method1_Raw,LongShort,0.00013723627383013803
Copenhagen,2023-05-31,Method1_Raw,LongShort,-0.11618389012066438
Copenhagen,2023-06-30,Method1_Raw,LongShort,0.061088356830084185
Copenhagen,2023-07-31,Method1_Raw,LongShort,0.014453017505390846
Copenhagen,2023-08-31,Method1_Raw,LongShort,-0.0232775243704719
Copenhagen,2023-09-30,Method1_Raw,LongShort,-0.03009876716633541
Copenhagen,2023-10-31,Method1_Raw,LongShort,-0.06611210706884171
Copenhagen,2023-11-30,Method1_Raw,LongShort,-0.010130951674638691
Copenhagen,2023-12-31,Method1_Raw,LongShort,0.016299376159664106
Copenhagen,2024-01-31,Method1_Raw,LongShort,0.03260384719374238
Copenhagen,2024-02-29,Method1_Raw,LongShort,0.07309864116618385
Copenhagen,2024-03-31,Method1_Raw,LongShort,0.009089667011595255
Copenhagen,2024-04-30,Method1_Raw,LongShort,-0.05837758269095193
Copenhagen,2024-05-31,Method1_Raw,LongShort,-0.06015536849063856
Copenhagen,2024-06-30,Method1_Raw,LongShort,-0.0038094585919015295
Copenhagen,2024-07-31,Method1_Raw,LongShort,-4.1683198637607055e-05
Copenhagen,2024-08-31,Method1_Raw,LongShort,0.017674461882153613
Copenhagen,2024-09-30,Method1_Raw,LongShort,-0.004545801456798839
Copenhagen,2024-10-31,Method1_Raw,LongShort,0.008753923753675869
Copenhagen,2024-11-30,Method1_Raw,LongShort,0.05805246170284141
Copenhagen,2024-12-31,Method1_Raw,LongShort,-0.03219331958966052
Copenhagen,2025-01-31,Method1_Raw,LongShort,-0.0009156695738788828
Copenhagen,2025-02-28,Method1_Raw,LongShort,-0.005640038395521005
