Method,Portfolio,Date,n_firms,raw_weight_sum,capped_weight_sum,max_raw_weight,max_capped_weight,n_names_capped
Method3_ProbQ5,Q5,2010-09-30,60,0.9999999999999999,1.0,0.18057358563124543,0.05,6
Method1_Raw,Q1,2010-10-31,60,1.0000000000000002,1.0,0.5031594750424457,0.05,4
Method1_Raw,Q2,2010-10-31,60,1.0,1.0,0.27458163301341865,0.05,5
Method1_Raw,Q3,2010-10-31,60,1.0000000000000002,0.9999999999999999,0.18370289058994843,0.04999999999999999,5
Method1_Raw,Q4,2010-10-31,60,1.0,1.0000000000000002,0.25300838238435724,0.05000000000000001,6
Method1_Raw,Q5,2010-10-31,61,1.0,0.9999999999999997,0.1795197487693168,0.04999999999999999,6
Method2_PostMean,Q1,2010-10-31,59,1.0,0.9999999999999999,0.33652290009699654,0.04999999999999999,5
Method2_PostMean,Q2,2010-10-31,61,0.9999999999999999,1.0,0.18065099101312135,0.05,5
Method2_PostMean,Q3,2010-10-31,60,1.0,0.9999999999999998,0.20393593538016622,0.04999999999999999,4
Method2_PostMean,Q4,2010-10-31,61,0.9999999999999999,1.0,0.2016884248377942,0.05,6
Method2_PostMean,Q5,2010-10-31,60,1.0,0.9999999999999999,0.16444510478513513,0.05,7
Method3_ProbQ5,Q1,2010-10-31,59,1.0,0.9999999999999997,0.1844073502330376,0.04999999999999999,6
Method3_ProbQ5,Q2,2010-10-31,59,0.9999999999999999,0.9999999999999999,0.38334540031707687,0.05,3
Method3_ProbQ5,Q3,2010-10-31,62,0.9999999999999999,0.9999999999999999,0.1492263971935483,0.05,7
Method3_ProbQ5,Q4,2010-10-31,61,0.9999999999999999,1.0,0.2888422247742276,0.05,4
Method3_ProbQ5,Q5,2010-10-31,60,1.0,1.0,0.16400056913661765,0.05000000000000001,7
Method1_Raw,Q1,2010-11-30,60,1.0,1.0,0.49801873036488803,0.05000000000000002,3
Method1_Raw,Q2,2010-11-30,60,1.0,0.9999999999999999,0.25538453546781825,0.04999999999999999,5
Method1_Raw,Q3,2010-11-30,60,1.0,0.9999999999999997,0.1845142398851531,0.04999999999999998,5
Method1_Raw,Q4,2010-11-30,59,1.0,1.0,0.2453054384004968,0.05,5
Method1_Raw,Q5,2010-11-30,61,1.0000000000000004,0.9999999999999999,0.1710665689047382,0.05,6
Method2_PostMean,Q1,2010-11-30,59,1.0,0.9999999999999998,0.33795872147454586,0.04999999999999999,5
Method2_PostMean,Q2,2010-11-30,61,0.9999999999999999,1.0,0.17884430308366728,0.05,5
Method2_PostMean,Q3,2010-11-30,60,1.0,0.9999999999999998,0.20427436173254432,0.04999999999999999,4
Method2_PostMean,Q4,2010-11-30,60,1.0,1.0,0.1992567008713802,0.05,6
Method2_PostMean,Q5,2010-11-30,60,1.0000000000000004,1.0,0.15718241559644416,0.05,7
Method3_ProbQ5,Q1,2010-11-30,59,1.0000000000000002,0.9999999999999999,0.18059689443207425,0.05,6
Method3_ProbQ5,Q2,2010-11-30,58,1.0,1.0,0.38858296724598584,0.05,4
Method3_ProbQ5,Q3,2010-11-30,62,1.0,0.9999999999999999,0.1622764647792126,0.05,7
Method3_ProbQ5,Q4,2010-11-30,61,0.9999999999999999,1.0,0.2982291609955369,0.05,4
Method3_ProbQ5,Q5,2010-11-30,60,1.0000000000000002,1.0,0.1567169216735483,0.05000000000000001,7
Method1_Raw,Q1,2010-12-31,60,0.9999999999999999,1.0,0.5142790900697677,0.05000000000000001,3
Method1_Raw,Q2,2010-12-31,61,0.9999999999999999,0.9999999999999999,0.2735050510662339,0.04999999999999999,5
Method1_Raw,Q3,2010-12-31,60,1.0,1.0,0.18585055668590691,0.05,5
Method1_Raw,Q4,2010-12-31,59,1.0,1.0,0.24112665719762327,0.05,5
Method1_Raw,Q5,2010-12-31,61,0.9999999999999999,1.0,0.16877415620033256,0.05,6
Method2_PostMean,Q1,2010-12-31,59,1.0,1.0,0.32715473240198323,0.05,5
Method2_PostMean,Q2,2010-12-31,62,0.9999999999999999,1.0000000000000002,0.18091541021560384,0.05000000000000002,5
Method2_PostMean,Q3,2010-12-31,60,0.9999999999999999,0.9999999999999999,0.2044843312607777,0.04999999999999999,4
Method2_PostMean,Q4,2010-12-31,60,1.0,1.0,0.1873622668122811,0.05,6
Method2_PostMean,Q5,2010-12-31,60,1.0000000000000002,1.0,0.15502817808076802,0.05,7
Method3_ProbQ5,Q1,2010-12-31,60,1.0,1.0,0.18061064502522906,0.05,6
Method3_ProbQ5,Q2,2010-12-31,58,0.9999999999999999,1.0,0.38259746954354357,0.05000000000000001,3
Method3_ProbQ5,Q3,2010-12-31,62,1.0,1.0,0.17308769297202523,0.05,7
Method3_ProbQ5,Q4,2010-12-31,61,1.0,1.0,0.289581903821582,0.05000000000000001,6
Method3_ProbQ5,Q5,2010-12-31,60,1.0,0.9999999999999999,0.1545521477210816,0.05,7
Method1_Raw,Q1,2011-01-31,63,1.0,1.0000000000000002,0.5513839136942562,0.05000000000000002,3
Method1_Raw,Q2,2011-01-31,62,1.0000000000000002,1.0,0.16339869564239046,0.05,5
Method1_Raw,Q3,2011-01-31,63,0.9999999999999999,1.0000000000000002,0.31491287930454354,0.05000000000000001,3
Method1_Raw,Q4,2011-01-31,62,1.0000000000000002,1.0000000000000002,0.14147448308675492,0.05000000000000001,5
Method1_Raw,Q5,2011-01-31,61,0.9999999999999999,0.9999999999999999,0.1625618749220878,0.05,7
Method2_PostMean,Q1,2011-01-31,62,0.9999999999999997,1.0,0.5410671236128078,0.05,3
Method2_PostMean,Q2,2011-01-31,63,1.0,1.0,0.1671511283959977,0.05,5
Method2_PostMean,Q3,2011-01-31,64,1.0000000000000002,1.0,0.30342775481665896,0.05,3
Method2_PostMean,Q4,2011-01-31,60,1.0000000000000002,1.0,0.14594466986505147,0.05,5
Method2_PostMean,Q5,2011-01-31,62,0.9999999999999999,0.9999999999999999,0.1611639084426725,0.05,7
Method3_ProbQ5,Q1,2011-01-31,61,1.0,1.0,0.28859700966547297,0.05,6
Method3_ProbQ5,Q2,2011-01-31,62,0.9999999999999999,0.9999999999999999,0.1665409307899852,0.04999999999999999,6
Method3_ProbQ5,Q3,2011-01-31,63,0.9999999999999999,0.9999999999999997,0.30559039686734263,0.04999999999999999,6
Method3_ProbQ5,Q4,2011-01-31,64,1.0,0.9999999999999999,0.19505673721983502,0.04999999999999999,4
Method3_ProbQ5,Q5,2011-01-31,61,0.9999999999999999,0.9999999999999999,0.16290155100126785,0.05,7
Method1_Raw,Q1,2011-02-28,63,1.0000000000000002,0.9999999999999999,0.5509335778056217,0.04999999999999999,3
Method1_Raw,Q2,2011-02-28,62,0.9999999999999998,1.0,0.16626413350183825,0.05,5
Method1_Raw,Q3,2011-02-28,63,1.0,1.0,0.31089689054620534,0.05,4
Method1_Raw,Q4,2011-02-28,62,0.9999999999999999,1.0000000000000002,0.14583565707649299,0.05000000000000001,5
Method1_Raw,Q5,2011-02-28,62,1.0000000000000002,1.0,0.1635454971757288,0.05000000000000001,7
Method2_PostMean,Q1,2011-02-28,62,1.0,0.9999999999999998,0.5404731649832261,0.04999999999999999,3
Method2_PostMean,Q2,2011-02-28,63,0.9999999999999998,0.9999999999999999,0.17028567284654256,0.04999999999999999,5
Method2_PostMean,Q3,2011-02-28,64,1.0,1.0,0.3093334235606635,0.05,3
Method2_PostMean,Q4,2011-02-28,60,1.0,1.0,0.1488641933196711,0.05,5
Method2_PostMean,Q5,2011-02-28,63,1.0000000000000002,0.9999999999999998,0.16180873365947104,0.04999999999999999,7
Method3_ProbQ5,Q1,2011-02-28,61,0.9999999999999999,0.9999999999999999,0.2935081356091503,0.05,6
Method3_ProbQ5,Q2,2011-02-28,62,0.9999999999999997,1.0000000000000002,0.1456253108338349,0.05000000000000001,6
Method3_ProbQ5,Q3,2011-02-28,63,1.0,0.9999999999999997,0.30318127254893484,0.04999999999999999,6
Method3_ProbQ5,Q4,2011-02-28,64,1.0,1.0,0.20110274763120448,0.05,4
Method3_ProbQ5,Q5,2011-02-28,62,1.0000000000000002,1.0,0.16390019457836652,0.05,7
Method1_Raw,Q1,2011-03-31,63,1.0000000000000002,0.9999999999999999,0.554331721744963,0.04999999999999999,3
Method1_Raw,Q2,2011-03-31,62,0.9999999999999999,1.0000000000000002,0.21970574317563465,0.05000000000000001,5
Method1_Raw,Q3,2011-03-31,63,1.0000000000000002,1.0,0.3103514519446142,0.05000000000000001,4
Method1_Raw,Q4,2011-03-31,62,1.0,1.0,0.14675653081031634,0.05,5
Method1_Raw,Q5,2011-03-31,62,1.0000000000000002,1.0000000000000002,0.17543511560419195,0.05000000000000002,7
Method2_PostMean,Q1,2011-03-31,62,0.9999999999999998,1.0,0.5438258958648882,0.05,3
Method2_PostMean,Q2,2011-03-31,63,1.0,1.0000000000000002,0.2248442051475158,0.05000000000000001,5
Method2_PostMean,Q3,2011-03-31,64,0.9999999999999999,1.0,0.3080511673090664,0.05,3
Method2_PostMean,Q4,2011-03-31,60,1.0,1.0,0.1499380644935114,0.05,5
