Ticker,FiscalYear,PeriodEndDate,AnnouncementDate,ForecastDate,cfo_forecast,forecast_window_start,forecast_window_end,has_valid_cfo_forecast
ALVO.IC,2022,2022-12-31,2023-03-01,2023-05-25,-674.0195,2023-03-01,2023-06-30,1
ALVO.IC,2023,2023-12-31,2024-03-20,2024-06-11,-2709.78825,2024-03-20,2024-06-30,1
ALVO.IC,2024,2024-12-31,2025-03-26,2025-06-23,1767.636,2025-03-26,2025-06-30,1
AMBEA.ST,2017,2017-12-31,2018-02-21,2018-06-01,426.772683658401,2018-02-21,2018-06-30,1
AMBEA.ST,2018,2018-12-31,2019-02-13,2019-05-17,486.927801690608,2019-02-13,2019-06-30,1
AMBEA.ST,2019,2019-12-31,2020-02-14,2020-05-15,1089.29804672934,2020-02-14,2020-06-30,1
AMBEA.ST,2020,2020-12-31,2021-02-16,2021-05-05,992.420475319927,2021-02-16,2021-06-30,1
AMBEA.ST,2021,2021-12-31,2022-02-09,2022-06-09,963.912185729551,2022-02-09,2022-06-30,1
AMBEA.ST,2022,2022-12-31,2023-02-09,2023-06-02,1147.71968039746,2023-02-09,2023-06-30,1
AMBEA.ST,2023,2023-12-31,2024-02-08,2024-05-06,1317.88630621292,2024-02-08,2024-06-30,1
AMBEA.ST,2024,2024-12-31,2025-02-12,2025-05-07,1688.23012446156,2025-02-12,2025-06-30,1
ANNEb.ST,2020,2020-12-31,2021-02-25,2021-06-16,85.2322514253271,2021-02-25,2021-06-30,1
ANNEb.ST,2021,2021-12-31,2022-02-23,2022-06-16,106.909105276675,2022-02-23,2022-06-30,1
ANNEb.ST,2022,2022-12-31,2023-02-23,2023-06-21,73.9256232504838,2023-02-23,2023-06-30,1
ANNEb.ST,2023,2023-12-31,2024-02-01,2024-04-09,106.241101811392,2024-02-01,2024-06-30,1
ANNEb.ST,2024,2024-12-31,2025-02-13,2025-05-07,105.949148856859,2025-02-13,2025-06-30,1
ANODb.ST,2016,2016-12-31,2017-02-07,2017-05-04,21.5145711114635,2017-02-07,2017-06-30,1
ANODb.ST,2017,2017-12-31,2018-02-07,2018-05-02,231.351752142505,2018-02-07,2018-06-30,1
ANODb.ST,2018,2018-12-31,2019-02-06,2019-05-06,324.567209136928,2019-02-06,2019-06-30,1
ANODb.ST,2019,2019-12-31,2020-02-04,2020-06-30,391.872022148775,2020-02-04,2020-06-30,1
ANODb.ST,2020,2020-12-31,2021-02-03,2021-04-27,176.59657284788,2021-02-03,2021-06-30,1
ANODb.ST,2021,2021-12-31,2022-02-04,2022-06-21,739.268174527742,2022-02-04,2022-06-30,1
ANODb.ST,2022,2022-12-31,2023-02-03,2023-06-28,855.255408987776,2023-02-03,2023-06-30,1
ANODb.ST,2023,2023-12-31,2024-02-02,2024-06-27,846.435156882496,2024-02-02,2024-06-30,1
ANODb.ST,2024,2024-12-31,2025-01-31,2025-06-25,716.528330622505,2025-01-31,2025-06-30,1
ANORA.HE,2018,2018-12-31,2019-02-07,2019-05-09,403.959967237762,2019-02-07,2019-06-30,1
ANORA.HE,2019,2019-12-31,2020-02-13,2020-06-17,371.16691222567,2020-02-13,2020-06-30,1
ANORA.HE,2020,2020-12-31,2021-02-25,2021-06-04,707.817232947703,2021-02-25,2021-06-30,1
ANORA.HE,2021,2021-12-31,2022-03-10,2022-06-23,587.142586551615,2022-03-10,2022-06-30,1
ANORA.HE,2022,2022-12-31,2023-02-28,2023-05-13,1557.20617561264,2023-02-28,2023-06-30,1
ANORA.HE,2023,2023-12-31,2024-02-14,2024-05-08,735.830272814209,2024-02-14,2024-06-30,1
ANORA.HE,2024,2024-12-31,2025-02-12,2025-05-08,671.378823521685,2025-02-12,2025-06-30,1
AQ.ST,2024,2024-12-31,2025-02-13,2025-06-22,901.954599166615,2025-02-13,2025-06-30,1
ARJOb.ST,2017,2017-12-31,2018-01-29,2018-06-26,928.026587359674,2018-01-29,2018-06-30,1
ARJOb.ST,2018,2018-12-31,2019-02-04,2019-05-09,1145.09402309499,2019-02-04,2019-06-30,1
ARJOb.ST,2019,2019-12-31,2020-02-04,2020-06-16,1382.07270434067,2020-02-04,2020-06-30,1
ARJOb.ST,2020,2020-12-31,2021-02-03,2021-06-28,1701.28797245205,2021-02-03,2021-06-30,1
ARJOb.ST,2021,2021-12-31,2022-02-03,2022-06-27,1577.48301427959,2022-02-03,2022-06-30,1
ARJOb.ST,2022,2022-12-31,2023-01-25,2023-06-30,1437.07274982483,2023-01-25,2023-06-30,1
ARJOb.ST,2023,2023-12-31,2024-01-30,2024-06-26,1680.07739422647,2024-01-30,2024-06-30,1
ARJOb.ST,2024,2024-12-31,2025-01-30,2025-06-30,1701.78318204447,2025-01-30,2025-06-30,1
ASPO.HE,2013,2013-12-31,2014-02-13,2014-06-18,196.040023927348,2014-02-13,2014-06-30,1
ASPO.HE,2014,2014-12-31,2015-02-12,2015-05-07,289.656631252323,2015-02-12,2015-06-30,1
ASPO.HE,2015,2015-12-31,2016-02-11,2016-04-29,274.884904817538,2016-02-11,2016-06-30,1
ASPO.HE,2016,2016-12-31,2017-02-15,2017-05-10,295.978311420189,2017-02-15,2017-06-30,1
ASPO.HE,2017,2017-12-31,2018-02-15,2018-05-04,381.372443976754,2018-02-15,2018-06-30,1
ASPO.HE,2018,2018-12-31,2019-02-14,2019-06-17,439.230851620864,2019-02-14,2019-06-30,1
ASPO.HE,2019,2019-12-31,2020-02-13,2020-05-06,540.517000561288,2020-02-13,2020-06-30,1
ASPO.HE,2020,2020-12-31,2021-02-11,2021-05-14,468.691721701549,2021-02-11,2021-06-30,1
ASPO.HE,2021,2021-12-31,2022-02-16,2022-06-16,613.002883084777,2022-02-16,2022-06-30,1
ASPO.HE,2022,2022-12-31,2023-02-15,2023-05-19,784.279711045099,2023-02-15,2023-06-30,1
ASPO.HE,2023,2023-12-31,2024-02-16,2024-05-08,664.356313193721,2024-02-16,2024-06-30,1
ASPO.HE,2024,2024-12-31,2025-02-17,2025-06-25,665.043132294132,2025-02-17,2025-06-30,1
