ResultFolder,SourceFile,SplitType,SplitValue,PortfolioStrategy,Method,MethodLabel,StartDate,EndDate,NMonths,TotalCumulativeReturn,TotalCumulativeReturnPct
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,-0.08915230146247,-8.915230146247
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,-0.0747333838095593,-7.47333838095593
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,-0.0062863702628696005,-0.62863702628696
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,-0.03737024956934876,-3.7370249569348757
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,5.904573315795068,590.4573315795068
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,5.903738358049958,590.3738358049958
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,5.905855898245091,590.585589824509
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,5.909483542794025,590.9483542794025
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,1.475249822801187,147.5249822801187
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,0.948144631140379,94.81446311403789
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,2.318415937100193,231.84159371001928
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,1.702419592154516,170.2419592154516
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,6.536078422899907,653.6078422899907
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,6.280544141319494,628.0544141319493
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,6.255804637065394,625.5804637065394
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_10pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,6.635588980486709,663.5588980486709
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,1.7215926187514934,172.15926187514933
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,1.0334745587408314,103.34745587408314
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,2.615135543582874,261.51355435828737
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,1.7209202100059242,172.0920210005924
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,6.495005543761577,649.5005543761577
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,6.24241508206629,624.241508206629
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,6.393770272041049,639.3770272041049
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_be_at_min_5pct_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,6.560102086137174,656.0102086137174
results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_conservative_gamma_0_15_ucits_5_10_40,results/current_res/portfolio_evaluation/thesis_risk_adjusted_tables_conservative_gamma_0_15_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,1.937750276251038,193.7750276251038
