FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2013,Method2_PostMean,2,Q2,70,620748.96,0.027926239393365547,0.039231681786432736,0.1128056710775132,0.0741476339826001
2013,Method2_PostMean,3,Q3,70,390576.36,0.1260708645218479,0.11331931723773321,0.15555845818270944,0.06414180762408841
2013,Method2_PostMean,4,Q4,70,573956.5499999999,0.24141058431992768,0.20780049194228745,0.2837783895355579,0.06085738920793396
2013,Method2_PostMean,5,Q5,70,3159812.35,0.5766940792967917,0.47299616585316284,0.7105983669597616,0.057741327970960626
2013,Method3_ProbQ5,1,Q1,71,748865.73,-0.49341830550801696,-0.34875669094719214,0.004495986742348598,0.04540553888643452
2013,Method3_ProbQ5,2,Q2,70,453516.83,0.002200033362764004,0.02857054463047809,0.07432530045865898,0.0559354941546336
2013,Method3_ProbQ5,3,Q3,70,226134.35,0.05317591805394144,0.08426120090660452,0.19393175404085072,0.08676252767544705
2013,Method3_ProbQ5,4,Q4,70,502561.57,0.2189814185362322,0.18530412837909827,0.3208926479528045,0.08904480207152415
2013,Method3_ProbQ5,5,Q5,70,3164081.63,0.5812085642576204,0.471980482632836,0.7110215330870513,0.06086926807857907
2014,Method1_Raw,1,Q1,73,508802.48,-0.6037054897863345,-0.45445107379668703,0.10734412972578387,0.08054480923660852
2014,Method1_Raw,2,Q2,73,800534.79,0.030599499551798096,0.03505322804705929,0.1876240720035941,0.06732223016171911
2014,Method1_Raw,3,Q3,72,723633.01,0.10987678213967485,0.10037555892243136,0.2208785457565624,0.05838251766959804
2014,Method1_Raw,4,Q4,73,992062.14,0.2015388158758419,0.1791369120090377,0.3635510131257757,0.057525257388295885
2014,Method1_Raw,5,Q5,73,3658580.38,0.5194507036676831,0.43471979173722847,0.6293973728876198,0.06891558093590303
2014,Method2_PostMean,1,Q1,73,506186.1,-0.600237791157532,-0.4549749613608069,0.09964772403919048,0.07443838170305982
2014,Method2_PostMean,2,Q2,73,798773.07,0.02730540047376352,0.03531445684770009,0.20221157166457018,0.07787105716285862
2014,Method2_PostMean,3,Q3,72,570700.36,0.11255040887143876,0.09888026150526963,0.22897525365894073,0.061630882394500625
2014,Method2_PostMean,4,Q4,73,799547.47,0.2160708426289966,0.17672533281241337,0.3510640313794664,0.06327692257333477
2014,Method2_PostMean,5,Q5,73,4008405.8,0.5021080756557191,0.43886884358823114,0.62700746656405,0.05551764970528721
2014,Method3_ProbQ5,1,Q1,73,1124096.78,-0.4910612909343544,-0.3877087981025939,0.03227100652879183,0.03783479993998782
2014,Method3_ProbQ5,2,Q2,73,531886.89,-0.02205440922371784,0.010865933934647645,0.17592699968555614,0.06123820317355211
2014,Method3_ProbQ5,3,Q3,72,464505.63,0.07023841140456728,0.07943086515373461,0.2927046089043955,0.08102185504863772
2014,Method3_ProbQ5,4,Q4,73,693049.74,0.18265935892028484,0.15474365634009055,0.37862325329682656,0.08813891000195316
2014,Method3_ProbQ5,5,Q5,73,3870073.7600000002,0.5174352499019503,0.437215845979921,0.6302531837570239,0.06476675513729568
2015,Method1_Raw,1,Q1,76,553020.0700000001,-0.4414294917949007,-0.28106884444602853,0.15825914217901368,0.07608248245696358
2015,Method1_Raw,2,Q2,75,901909.98,0.04683164460718494,0.06494225049921248,0.2228016153875053,0.05618667037195686
2015,Method1_Raw,3,Q3,75,779556.92,0.1294123081500634,0.1328508925432762,0.24841148643296754,0.04751491532240187
2015,Method1_Raw,4,Q4,75,1467389.55,0.23475884777654235,0.22155265774887037,0.3970853696980455,0.059128934482004035
2015,Method1_Raw,5,Q5,75,4262319.05,0.8007806632932807,0.6476617563900587,0.6274383425517277,0.0651401084561925
2015,Method2_PostMean,1,Q1,76,976350.4400000001,-0.4369930467278053,-0.28345605596202145,0.1396589924147794,0.06946748963762783
2015,Method2_PostMean,2,Q2,75,450729.97,0.043678883179453946,0.06655370815536746,0.22277595857237475,0.05663001746574906
2015,Method2_PostMean,3,Q3,75,737202.42,0.12840885552547798,0.13359631609792463,0.2708844751736022,0.05648196100003477
2015,Method2_PostMean,4,Q4,75,1253360.2,0.2369277485114723,0.2193131740074421,0.39290939635304023,0.06212609084144245
2015,Method2_PostMean,5,Q5,75,4546552.54,0.798272378942677,0.6499633999235566,0.6280151357323195,0.05943575204892254
2015,Method3_ProbQ5,1,Q1,76,1314414.67,-0.3129132729155589,-0.21956975895438144,0.05879879227346764,0.03503979507789666
2015,Method3_ProbQ5,2,Q2,75,665626.23,0.0103119067552731,0.04854664918438113,0.22619436377443894,0.05176789060192005
2015,Method3_ProbQ5,3,Q3,75,386447.32,0.05679747242055678,0.10272103255096851,0.3278103426967545,0.07552483536084749
2015,Method3_ProbQ5,4,Q4,75,1138081.82,0.21474031115139905,0.20377902458973365,0.4143200228270741,0.08113467954215128
2015,Method3_ProbQ5,5,Q5,75,4459625.53,0.7997040050354427,0.6496417775581322,0.628198572676265,0.06113314633842423
2016,Method1_Raw,1,Q1,80,516983.07999999996,-0.7528967959482932,-0.5483876045253727,0.17011948059821916,0.07485226524273064
2016,Method1_Raw,2,Q2,80,940603.18,0.039495386245172334,0.039177934912262444,0.24181667793718686,0.05618686566785328
2016,Method1_Raw,3,Q3,79,1278122.0,0.12125826767882687,0.10969920676351694,0.2838685909544171,0.044398412357146456
2016,Method1_Raw,4,Q4,80,1676247.8,0.21267518247776224,0.1843392792065891,0.37752039436001367,0.04827147525054961
2016,Method1_Raw,5,Q5,80,5199714.22,0.5809036075680785,0.47223680395765005,0.6193312250333386,0.053987634706561906
2016,Method2_PostMean,1,Q1,80,899446.24,-0.7507919806619235,-0.5494594138239391,0.1540361448368849,0.06784009917127261
2016,Method2_PostMean,2,Q2,80,525608.63,0.039035132544876214,0.04013055429304787,0.26281500473466,0.0662291909226352
2016,Method2_PostMean,3,Q3,79,1316882.8900000001,0.12503454477010714,0.10635224203208002,0.2929766681387552,0.05221444694109686
2016,Method2_PostMean,4,Q4,80,1967225.26,0.21089932645533654,0.18273807518130386,0.3628619213417234,0.04410517513353996
2016,Method2_PostMean,5,Q5,80,4902507.26,0.5773058283767915,0.4772623255730103,0.6200804807959559,0.04740544148859664
2016,Method3_ProbQ5,1,Q1,80,1224222.81,-0.6195228966121842,-0.4769096545019028,0.08469333861492076,0.03434227178019307
2016,Method3_ProbQ5,2,Q2,80,693578.86,-0.02576385705503122,0.017568847870825334,0.24765740344657355,0.05169234465731357
2016,Method3_ProbQ5,3,Q3,79,1133566.42,0.0876395733083642,0.09201359097167895,0.3365863391973165,0.0626359446412967
2016,Method3_ProbQ5,4,Q4,80,1192475.44,0.17904667104921834,0.14771566732804495,0.40367818866174704,0.07980167164862235
2016,Method3_ProbQ5,5,Q5,80,5367826.75,0.5796159236515488,0.4764560984486014,0.6207000708156537,0.049452389650968084
2017,Method1_Raw,1,Q1,86,572359.63,-0.5023898234385419,-0.3492067304279423,0.0936058321372021,0.06878634117169541
2017,Method1_Raw,2,Q2,86,1709469.25,0.035030426106331745,0.048444697705491827,0.12183141960206424,0.04649462075773138
2017,Method1_Raw,3,Q3,85,967815.52,0.13520552677196437,0.13319412058847216,0.18749439309431892,0.04478526039869163
2017,Method1_Raw,4,Q4,86,2307900.4499999997,0.24131355010777517,0.22546759732137475,0.3341584159550828,0.043379901408903694
2017,Method1_Raw,5,Q5,86,3885920.5500000003,0.7000145344995975,0.5602592749030605,0.6749655814867541,0.054294547395115085
2017,Method2_PostMean,1,Q1,86,637642.5,-0.49106390558217644,-0.3527199402843276,0.06648128543074931,0.05608122952614562
2017,Method2_PostMean,2,Q2,86,1653946.95,0.024372966204075676,0.05182103483823473,0.1402035328263649,0.056371127517532836
2017,Method2_PostMean,3,Q3,85,939234.1,0.13573196735371387,0.13277916831888414,0.20743036231497958,0.051847936068537
2017,Method2_PostMean,4,Q4,86,2280418.4,0.24869726932277075,0.22211294617799926,0.32684823695600473,0.04901156334888057
2017,Method2_PostMean,5,Q5,86,3932223.45,0.6914420381508563,0.5641609260132758,0.6713240383429127,0.044510938806737045
2017,Method3_ProbQ5,1,Q1,86,1151873.56,-0.3711408400300356,-0.282771832218679,0.013976595498335334,0.029432846609086037
2017,Method3_ProbQ5,2,Q2,86,1602249.29,-0.0166222332886813,0.026085565520292342,0.12169741310915586,0.0481175172400331
2017,Method3_ProbQ5,3,Q3,85,791984.12,0.09270237959255383,0.11346717537599249,0.2438174262436916,0.05869467265203729
2017,Method3_ProbQ5,4,Q4,86,2050434.37,0.20606618108065483,0.19769027554176688,0.35709922166061625,0.07223508552044176
2017,Method3_ProbQ5,5,Q5,86,3846924.06,0.697674504051014,0.5634583927872181,0.6761199047537322,0.04942228646232209
2018,Method1_Raw,1,Q1,89,672322.0399999999,-0.5823484317702909,-0.3981262911760972,0.06113196278100747,0.07115890897802271
2018,Method1_Raw,2,Q2,88,645805.4,0.030709597700627266,0.0343920630802668,0.10498755545603779,0.05161650251795798
2018,Method1_Raw,3,Q3,89,2006446.56,0.11448196619874124,0.10562321074407685,0.12961019431729856,0.03902791929774202
2018,Method1_Raw,4,Q4,88,2214958.67,0.22062609399658092,0.1995300148678929,0.285505528403673,0.038199670557451465
2018,Method1_Raw,5,Q5,89,5621641.52,0.47170566771881306,0.38728265045158816,0.6560316429525925,0.05177161761497545
2018,Method2_PostMean,1,Q1,89,683918.3099999999,-0.5774714980790728,-0.39989737586114454,0.04487029859924562,0.060607289162447224
2018,Method2_PostMean,2,Q2,88,588044.58,0.0260508753690141,0.036124562830903886,0.12406754268265408,0.06340714510123331
2018,Method2_PostMean,3,Q3,89,1893707.69,0.11789047022140031,0.1043625184595577,0.14334908023248155,0.04329068610464272
2018,Method2_PostMean,4,Q4,88,2346815.32,0.22449912355686966,0.19466475283181764,0.2739993669538866,0.04175658094352091
