Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method2_PostMean,Q1,2010-06-30,63,0.9999999999999999,1.0,0.4368418997371834,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-06-30,57,1.0,1.0,0.3426945690000087,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-06-30,58,1.0,1.0,0.2164381256923592,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-06-30,59,1.0,1.0,0.10384245527276682,0.08341024350362955,0.4000000000000001,5,2,False
Method2_PostMean,Q5,2010-06-30,63,0.9999999999999998,1.0,0.1648990377151001,0.1,0.4,4,5,False
Method3_ProbQ5,Q1,2010-06-30,63,1.0000000000000002,1.0,0.30115095922102675,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-06-30,57,1.0,1.0,0.24924179842491928,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-06-30,58,1.0,1.0,0.23074433608813677,0.1,0.4,4,4,False
Method3_ProbQ5,Q4,2010-06-30,59,1.0,1.0,0.16942394922126516,0.1,0.4,5,2,False
Method3_ProbQ5,Q5,2010-06-30,63,1.0000000000000002,1.0,0.16061002259911317,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-07-31,63,1.0,1.0,0.44582764626044663,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-07-31,58,1.0,1.0,0.41944242088188405,0.1,0.3883522413420293,4,1,False
Method1_Raw,Q3,2010-07-31,57,1.0,1.0,0.20187256678681148,0.1,0.4,4,4,False
Method1_Raw,Q4,2010-07-31,60,1.0000000000000002,1.0,0.09619449658570206,0.08349207771615161,0.4,5,0,False
Method1_Raw,Q5,2010-07-31,62,1.0000000000000002,0.9999999999999999,0.1800939640511767,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-07-31,63,1.0000000000000002,1.0000000000000002,0.43960974397035446,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-07-31,57,1.0,1.0,0.3558199293355307,0.10000000000000002,0.4,4,2,False
Method2_PostMean,Q3,2010-07-31,58,1.0,1.0000000000000002,0.22732820311095703,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-07-31,59,0.9999999999999999,1.0,0.1059921572377715,0.08349207771615161,0.4,5,2,False
Method2_PostMean,Q5,2010-07-31,63,1.0000000000000004,1.0,0.17686132369075558,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-07-31,63,1.0,1.0,0.30316065862113445,0.10000000000000002,0.4,4,3,False
